id	lemma
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan575	ⲁ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan577	ⲟⲩ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan579	ⲕⲏⲡⲏ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan581	ϩⲉ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan585	ϩⲛ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan20	ⲟⲩⲟⲉⲓϣ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan22	ⲛϭⲓ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan26	ⲡ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan30	ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan32	ⲛ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan68	ⲛⲧⲉⲣⲉ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan72	ⲛⲧⲟϥ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan74	ⲕⲧⲟ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan76	ⲛⲧⲟϥ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan78	ⲉ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan2	ⲁ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan13	ⲛⲧⲟⲟⲩ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan15	ϫⲱ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan17	ⲛⲧⲟⲥ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan19	ϩⲛ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan41	ⲟⲩⲟⲉⲓϣ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan43	ⲉⲣⲉ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan49	ⲁⲡⲁ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan52	ⲁⲣⲥⲉⲛⲓⲟⲥ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan56	ϩⲛ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1462	ⲉⲓ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1465	ⲉ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1469	ⲡⲉⲓ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1471	ⲙⲁ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1473	ⲉ
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan12	ⲛⲧⲟϥ
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan14	ⲃⲱⲕ
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan17	ⲛ
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan22	ⲟⲩⲟⲉⲓϣ
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan24	ⲉ
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan22	ϣⲱⲡⲉ
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan26	ⲛ
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan30	ⲟⲩⲟⲉⲓϣ
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan33	ϩⲛ
salt:/life.cyrus/life.cyrus.01#sSpan133	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan137	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan140	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan143	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan333	ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
salt:/life.cyrus/life.cyrus.01#sSpan336	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan340	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan343	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan345	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan1092	ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
salt:/life.cyrus/life.cyrus.01#sSpan1094	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan1099	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan1102	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan1104	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan2180	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan2184	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan2187	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan2189	·
salt:/life.cyrus/life.cyrus.01#sSpan2193	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan3599	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan3603	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan3606	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan3608	·
salt:/life.cyrus/life.cyrus.01#sSpan3612	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan4538	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan4542	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan4545	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan4547	·
salt:/life.cyrus/life.cyrus.01#sSpan4551	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan6467	ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
salt:/life.cyrus/life.cyrus.01#sSpan6469	ⲛ
salt:/life.cyrus/life.cyrus.01#sSpan6473	ⲡ
salt:/life.cyrus/life.cyrus.01#sSpan6477	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.01#sSpan6479	ⲛ
salt:/life.cyrus/life.cyrus.02#sSpan4705	ⲃⲱⲕ
salt:/life.cyrus/life.cyrus.02#sSpan4708	ⲉ
salt:/life.cyrus/life.cyrus.02#sSpan4712	ⲡⲁ
salt:/life.cyrus/life.cyrus.02#sSpan4715	ⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ
salt:/life.cyrus/life.cyrus.02#sSpan4717	ϩⲛ
salt:/life.cyrus/life.cyrus.02#sSpan4775	ⲛⲧⲟϥ
salt:/life.cyrus/life.cyrus.02#sSpan4777	ϩⲛ
salt:/life.cyrus/life.cyrus.02#sSpan4781	ⲡ
salt:/life.cyrus/life.cyrus.02#sSpan4784	ⲉⲕⲕⲗⲏⲥⲓⲁ
salt:/life.cyrus/life.cyrus.02#sSpan4786	ⲛ
salt:/life.onnophrius/life.onnophrius.04#sSpan4587	ⲡⲉⲩ
salt:/life.onnophrius/life.onnophrius.04#sSpan4591	ⲙⲁ
salt:/life.onnophrius/life.onnophrius.04#sSpan4593	ⲛ
salt:/life.onnophrius/life.onnophrius.04#sSpan4597	ϣⲱⲡⲉ
salt:/life.onnophrius/life.onnophrius.04#sSpan4599	ⲡⲉ
salt:/life.onnophrius/life.onnophrius.04#sSpan4716	ⲁ
salt:/life.onnophrius/life.onnophrius.04#sSpan4722	ⲛⲧⲟⲟⲩ
salt:/life.onnophrius/life.onnophrius.04#sSpan4724	ϫⲟⲟⲩ
salt:/life.onnophrius/life.onnophrius.04#sSpan4726	ⲛⲧⲟϥ
salt:/life.onnophrius/life.onnophrius.04#sSpan4728	ⲉ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan592	ⲉⲧⲃⲉ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan597	ⲟⲩ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan601	ⲁⲡⲟⲧ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan603	ⲛ
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan608	ⲏⲣⲡ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan39	ϣⲁ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan43	ⲡ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan46	ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan49	ⲛ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan86	,
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan90	ⲁ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan94	ⲛⲧⲟⲟⲩ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan96	ϫⲛⲟⲩ
salt:/apophthegmata.patrum/AP.019.n161.presbyter#sSpan98	ⲛⲧⲟϥ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan25	ⲉⲧⲃⲉ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan31	ⲁⲡⲁ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan34	ⲇⲁⲛⲓⲏⲗ
salt:/apophthegmata.patrum/AP.055.daniel.01#sSpan38	.
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan64	.
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan68	ⲉⲣⲉ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan73	ⲛⲉⲣⲉ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan75	ⲛⲧⲟϥ
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan77	ⲙⲙⲁⲩ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1481	.
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1485	ⲡⲁⲓ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1493	ⲇⲉ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1497	ⲡⲉ
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1501	ⲡ
