1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
60996937	ⲉ	mark	ⲉⲣⲉ	ⲉ	CCIRC	johannes.canons.FA143-158	2019-09-30	3.0.0	60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
60996942	ϥ	nsubj	ⲛⲧⲟϥ	ϥ	PPERS	johannes.canons.FA143-158	2019-09-30	3.0.0	60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
60996945	ⲛⲏⲩ	advcl	ⲉⲓ	ⲛⲏⲩ	VSTAT	johannes.canons.FA143-158	2019-09-30	3.0.0	60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
60996949	ⲉϩⲣⲁⲓ̄	advmod	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	johannes.canons.FA143-158	2019-09-30	3.0.0	60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
60996955	ⲉ	case	ⲉ	ⲉ	PREP	johannes.canons.FA143-158	2019-09-30	3.0.0	60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA143-158	2019-09-30	3.0.0	60996963	ⲛⲙⲙⲁ	case	ⲙⲛ	ⲛⲙⲙⲁ	PREP
60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA143-158	2019-09-30	3.0.0	60996969	ϥ	obl	ⲛⲧⲟϥ	ϥ	PPERO
60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA143-158	2019-09-30	3.0.0	60996972	·	punct	·	·	PUNCT
60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA143-158	2019-09-30	3.0.0	60996977	ⲁⲩⲱ	cc	ⲁⲩⲱ	ⲁⲩⲱ	CONJ
60996960	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA143-158	2019-09-30	3.0.0	60996985	ⲁⲛⲟⲕ	dislocated	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	PPERI
61002025	ⲉⲃⲟⲗ	case	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	ADV	johannes.canons.FA203-204	2019-09-30	3.0.0	61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61002031	ϩⲙ	fixed	ϩⲛ	ϩⲙ	PREP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61002036	ⲡ	det	ⲡ	ⲡ	ART	johannes.canons.FA203-204	2019-09-30	3.0.0	61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61002039	ⲕⲁϩ	obl	ⲕⲁϩ	ⲕⲁϩ	N	johannes.canons.FA203-204	2019-09-30	3.0.0	61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61002042	ⲛ	case	ⲛ	ⲛ	PREP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002051	ϩⲛ	case	ϩⲛ	ϩⲛ	PREP
61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002056	ⲟⲩ	det	ⲟⲩ	ⲟⲩ	ART
61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002059	ϭⲓϫ	nmod	ϭⲓϫ	ϭⲓϫ	N
61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002063	ⲉ	mark	ⲉⲣⲉ	ⲉ	CCIRC
61002048	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	johannes.canons.FA203-204	2019-09-30	3.0.0	61002068	ⲥ	nsubj	ⲛⲧⲟⲥ	ⲥ	PPERS
61120828	ⲓ	obl	ⲁⲛⲟⲕ	ⲓ	PPERO	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120831	ϫⲉ	mark	ϫⲉ	ϫⲉ	CONJ	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120836	ⲉⲕϣⲁⲛ	nsubj	ⲉⲣϣⲁⲛ_ⲛⲧⲟⲕ	ⲉⲕϣⲁⲛ	ACOND_PPERS	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120839	ⲃⲱⲕ	ccomp	ⲃⲱⲕ	ⲃⲱⲕ	V	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120843	ⲉ	case	ⲉ	ⲉ	PREP	life.onnophrius.03	2019-09-30	3.0.0	61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61120852	ⲧⲁϣⲉ ⲟⲉⲓϣ	parataxis	ⲧⲁϣⲉⲟⲉⲓϣ	ⲧⲁϣⲉⲟⲉⲓϣ	V
61120848	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.03	2019-09-30	3.0.0	61120860	ⲙ̅	case	ⲛ	ⲙ	PREP
