1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
60950963	ⲅⲁⲣ	advmod	ⲅⲁⲣ	ⲅⲁⲣ	PTC	exhortations	2019-09-30	3.0.0	60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60950968	ⲛ̄	det	ⲡ	ⲛ	ART	exhortations	2019-09-30	3.0.0	60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60950973	ϣⲏⲣⲉ	dislocated	ϣⲏⲣⲉ	ϣⲏⲣⲉ	N	exhortations	2019-09-30	3.0.0	60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60950976	ⲙ̄	case	ⲛ	ⲙ	PREP	exhortations	2019-09-30	3.0.0	60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60950982	ⲡ︤	det	ⲡ	ⲡ	ART	exhortations	2019-09-30	3.0.0	60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	exhortations	2019-09-30	3.0.0	60950989	ⲙ̄	case	ⲛ	ⲙ	PREP
60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	exhortations	2019-09-30	3.0.0	60950994	ⲡⲓ	det	ⲡⲉⲓ	ⲡⲓ	PDEM
60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	exhortations	2019-09-30	3.0.0	60950997	ⲟⲩⲟⲉⲓϣ	obl	ⲟⲩⲟⲉⲓϣ	ⲟⲩⲟⲉⲓϣ	N
60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	exhortations	2019-09-30	3.0.0	60951001	ⲁ	aux	ⲁ	ⲁ	APST
60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	exhortations	2019-09-30	3.0.0	60951007	ⲙⲱ ⲩ̈ⲥⲏⲥ	nsubj	ⲙⲱⲩⲥⲏⲥ	ⲙⲱⲩⲥⲏⲥ	NPROP
60967126	ⲧ	det	ⲡ	ⲧ	ART	to_thieving_nuns	2019-09-30	3.0.0	60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60967130	ⲡⲁⲣ ⲑⲉⲛⲟⲥ	dislocated	ⲡⲁⲣⲑⲉⲛⲟⲥ	ⲡⲁⲣⲑⲉⲛⲟⲥ	N	to_thieving_nuns	2019-09-30	3.0.0	60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60967135	ⲙ̄	case	ⲛ	ⲙ	PREP	to_thieving_nuns	2019-09-30	3.0.0	60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60967140	ⲡ	det	ⲡ	ⲡ	ART	to_thieving_nuns	2019-09-30	3.0.0	60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	to_thieving_nuns	2019-09-30	3.0.0	60967147	ⲛ︤	aux	ⲛⲧⲉ	ⲛ	ACONJ
60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	to_thieving_nuns	2019-09-30	3.0.0	60967153	ⲥ︥	nsubj	ⲛⲧⲟⲥ	ⲥ	PPERO
60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	to_thieving_nuns	2019-09-30	3.0.0	60967156	ⲛⲁ	aux	ⲛⲁ	ⲛⲁ	FUT
60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	to_thieving_nuns	2019-09-30	3.0.0	60967159	ⲟⲩⲱϩ⳿	advcl	ⲟⲩⲱϩ	ⲟⲩⲱϩ	V
60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	to_thieving_nuns	2019-09-30	3.0.0	60967162	ϭⲉ	advmod	ϭⲉ	ϭⲉ	PTC
60984507	ⲧⲁ	det	ⲡⲁ	ⲧⲁ	PPOS	johannes.canons.FA143-158	2019-09-30	3.0.0	60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP
60984510	ⲥⲙⲏ	obl	ⲥⲙⲏ	ⲥⲙⲏ	N	johannes.canons.FA143-158	2019-09-30	3.0.0	60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP
60984513	·	punct	·	·	PUNCT	johannes.canons.FA143-158	2019-09-30	3.0.0	60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP
60984518	ⲁⲩⲱ	cc	ⲁⲩⲱ	ⲁⲩⲱ	CONJ	johannes.canons.FA143-158	2019-09-30	3.0.0	60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP
60984526	ⲡ	det	ⲡ	ⲡ	ART	johannes.canons.FA143-158	2019-09-30	3.0.0	60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP
60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP	johannes.canons.FA143-158	2019-09-30	3.0.0	60984535	ⲙⲡ	aux	ⲙⲡⲉ	ⲙⲡ	ANEGPST
