1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
61674338	ⲓ̇︦︦︦︦ⲗ︦ⲏ︦ⲙ︦	obl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	AP.031.philagrios.01	Elizabeth Davidson, Caroline T. Schroeder	apophthegmata.patrum	2019-09-30	3.0.0	61674328	ϩⲛ̇	case	ϩⲛ	ϩⲛ	PREP
61674338	ⲓ̇︦︦︦︦ⲗ︦ⲏ︦ⲙ︦	obl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	AP.031.philagrios.01	Elizabeth Davidson, Caroline T. Schroeder	apophthegmata.patrum	2019-09-30	3.0.0	61674334	ⲑ︦	det	ⲡ	ⲧ	ART
61691013	ⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	Mark_01	Caroline T. Schroeder, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61691006	ⲑ	det	ⲡ	ⲧ	ART
61702361	ⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61702344	ⲛⲙ	case	ⲙⲛ	ⲙⲛ	PREP
61702361	ⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61702356	ⲑ	det	ⲡ	ⲧ	ART
61702361	ⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61702377	ⲛⲟϭ	conj	ⲛⲟϭ	ⲛⲟϭ	N
61704216	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61704203	ϩⲛ	case	ϩⲛ	ϩⲛ	PREP
61704216	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61704209	ⲧ	det	ⲡ	ⲧ	ART
61727659	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	Mark_07	Christine Luckritz Marquis, David Sriboonreuang, Caroline T. Schroeder, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61727646	ϩⲛ	case	ϩⲛ	ϩⲛ	PREP
61727659	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	Mark_07	Christine Luckritz Marquis, David Sriboonreuang, Caroline T. Schroeder, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61727652	ⲧ	det	ⲡ	ⲧ	ART
61777311	ⲓ︦ⲗ︦ⲏ︦ⲙ︥	acl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	a22.YA421-428	Elizabeth Platte, Elizabeth Davidson, Caroline T. Schroeder, Amir Zeldes	shenoute.a22	2019-09-30	3.0.0	61777298	ⲉ ⲧⲉ	mark	ⲉⲧⲉⲣⲉ	ⲉⲧⲉ	CREL
61777311	ⲓ︦ⲗ︦ⲏ︦ⲙ︥	acl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	a22.YA421-428	Elizabeth Platte, Elizabeth Davidson, Caroline T. Schroeder, Amir Zeldes	shenoute.a22	2019-09-30	3.0.0	61777306	ⲑ︤	det	ⲡ	ⲧ	ART
61777311	ⲓ︦ⲗ︦ⲏ︦ⲙ︥	acl	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	a22.YA421-428	Elizabeth Platte, Elizabeth Davidson, Caroline T. Schroeder, Amir Zeldes	shenoute.a22	2019-09-30	3.0.0	61777326	ⲡⲉ	nmod	ⲡⲉ	ⲡⲉ	N
