1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lang	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
52008516	ϩⲛ	case	'NULL'	ϩⲛ	ϩⲛ	PREP	40_Matthew_02	52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008521	ⲛⲉⲙⲁⲛϣⲁ	obl	'NULL'	ⲛⲉⲙⲁⲛϣⲁ	ⲛⲉⲙⲁⲛϣⲁ	N	40_Matthew_02	52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008526	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_02	52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008531	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_02	52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008535	ⲧ	det	'NULL'	ⲡ	ⲧ	ART	40_Matthew_02	52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008542	.	punct	'NULL'	.	.	PUNCT
52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008547	ⲉ	mark	'NULL'	ⲉⲣⲉ	ⲉ	CCIRC
52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008551	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS
52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008554	ϫⲱ	advcl	'NULL'	ϫⲱ	ϫⲱ	V
52008538	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	nmod	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008558	ⲙⲙⲟ	case	'NULL'	ⲛ	ⲙⲙⲟ	PREP
52008741	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS	40_Matthew_02	52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008744	ϣⲧⲟⲣⲧⲣ	parataxis	'NULL'	ϣⲧⲟⲣⲧⲣ	ϣⲧⲟⲣⲧⲣ	V	40_Matthew_02	52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008748	ⲉⲙⲁⲧⲉ	advmod	'NULL'	ⲉⲙⲁⲧⲉ	ⲉⲙⲁⲧⲉ	ADV	40_Matthew_02	52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008752	ⲙⲛ	case	'NULL'	ⲙⲛ	ⲙⲛ	PREP	40_Matthew_02	52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008757	ⲧ	det	'NULL'	ⲡ	ⲧ	ART	40_Matthew_02	52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008765	ⲧⲏⲣ	advmod	'NULL'	ⲧⲏⲣ	ⲧⲏⲣ	IMOD
52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008770	ⲥ	det	'NULL'	ⲛⲧⲟⲥ	ⲥ	PPERO
52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008773	ⲛⲙⲙⲁ	case	'NULL'	ⲙⲛ	ⲛⲙⲙⲁ	PREP
52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008778	ϥ	nmod	'NULL'	ⲛⲧⲟϥ	ϥ	PPERO
52008762	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	40_Matthew_02	52008781	.	punct	'NULL'	.	.	PUNCT
52012434	ⲉⲃⲟⲗ	advmod	'NULL'	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	ADV	40_Matthew_03	52012456	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52012439	ⲉⲣⲁⲧ	case	'NULL'	ⲉⲣⲁⲧ	ⲉⲣⲁⲧ	PREP	40_Matthew_03	52012456	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
52012443	ϥ	nmod	'NULL'	ⲛⲧⲟϥ	ϥ	PPERO	40_Matthew_03	52012456	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
