1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
61647293	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲓ	N	1Cor_01	Elizabeth Platte, David Sriboonreuang, Christine Luckritz Marquis, Mitchell Abrams, Lance Martin, Caroline T. Schroeder, Amir Zeldes	sahidica.1corinthians	2019-09-30	3.0.0	61647279	ⲙ	case	ⲛ	ⲙ	PREP
61647293	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲓ	N	1Cor_01	Elizabeth Platte, David Sriboonreuang, Christine Luckritz Marquis, Mitchell Abrams, Lance Martin, Caroline T. Schroeder, Amir Zeldes	sahidica.1corinthians	2019-09-30	3.0.0	61647285	ⲡ	det	ⲡ	ⲡ	ART
61647293	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲓ	N	1Cor_01	Elizabeth Platte, David Sriboonreuang, Christine Luckritz Marquis, Mitchell Abrams, Lance Martin, Caroline T. Schroeder, Amir Zeldes	sahidica.1corinthians	2019-09-30	3.0.0	61647289	ⲕⲉ	det	ⲕⲉ	ⲕⲉ	ART
61647293	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲓ	N	1Cor_01	Elizabeth Platte, David Sriboonreuang, Christine Luckritz Marquis, Mitchell Abrams, Lance Martin, Caroline T. Schroeder, Amir Zeldes	sahidica.1corinthians	2019-09-30	3.0.0	61647304	ⲥⲧⲉⲫⲁⲛⲁ	nmod	ⲥⲧⲉⲫⲁⲛⲁ	ⲥⲧⲉⲫⲁⲛⲁ	N
61689404	ⲏⲓ̈	acl	ⲏⲓ	ⲏⲓ	N	GF31-32	Rebecca Krawiec, Caroline T. Schroeder, Amir Zeldes	shenoute.eagerness	2019-10-24	3.0.1	61689392	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	ⲉⲧ	CREL
61689404	ⲏⲓ̈	acl	ⲏⲓ	ⲏⲓ	N	GF31-32	Rebecca Krawiec, Caroline T. Schroeder, Amir Zeldes	shenoute.eagerness	2019-10-24	3.0.1	61689396	ϩⲙ	case	ϩⲛ	ϩⲙ	PREP
61689404	ⲏⲓ̈	acl	ⲏⲓ	ⲏⲓ	N	GF31-32	Rebecca Krawiec, Caroline T. Schroeder, Amir Zeldes	shenoute.eagerness	2019-10-24	3.0.1	61689400	ⲡ	det	ⲡ	ⲡ	ART
61689404	ⲏⲓ̈	acl	ⲏⲓ	ⲏⲓ	N	GF31-32	Rebecca Krawiec, Caroline T. Schroeder, Amir Zeldes	shenoute.eagerness	2019-10-24	3.0.1	61689422	ⲛⲟⲩⲧⲉ	nmod	ⲛⲟⲩⲧⲉ	ⲛⲟⲩⲧⲉ	N
61694530	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_01	Caroline T. Schroeder, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61694520	ⲉ	case	ⲉ	ⲉ	PREP
61694530	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_01	Caroline T. Schroeder, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61694526	ⲡ	det	ⲡ	ⲡ	ART
61694530	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_01	Caroline T. Schroeder, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61694541	ⲥⲓⲙⲱⲛ	nmod	ⲥⲓⲙⲱⲛ	ⲥⲓⲙⲱⲛ	NPROP
61695082	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	Mark_01	Caroline T. Schroeder, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61695072	ⲙ	case	ⲛ	ⲙ	PREP
61695082	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	Mark_01	Caroline T. Schroeder, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61695078	ⲡ	det	ⲡ	ⲡ	ART
61696904	ⲏⲉⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61696886	ϫⲉ	mark	ϫⲉ	ϫⲉ	CONJ
61696904	ⲏⲉⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61696892	ϥ	nsubj	ⲛⲧⲟϥ	ϥ	PPERS
61696904	ⲏⲉⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61696896	ϩⲛ	case	ϩⲛ	ϩⲛ	PREP
61696904	ⲏⲉⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61696900	ⲟⲩ	det	ⲟⲩ	ⲟⲩ	ART
61698277	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61698267	ⲉ	case	ⲉ	ⲉ	PREP
61698277	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61698273	ⲡⲉⲕ	det	ⲡⲉⲕ	ⲡⲉⲕ	PPOS
61698918	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61698908	ϩⲙ	case	ϩⲛ	ϩⲙ	PREP
61698918	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61698914	ⲡⲉϥ	det	ⲡⲉϥ	ⲡⲉϥ	PPOS
61700909	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61700899	ⲉ	case	ⲉ	ⲉ	PREP
61700909	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61700905	ⲡ	det	ⲡ	ⲡ	ART
61700909	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_02	Caroline T. Schroeder, Mitchell Abrams, Elizabeth Davidson, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61700923	ⲛⲟⲩⲧⲉ	nmod	ⲛⲟⲩⲧⲉ	ⲛⲟⲩⲧⲉ	N
61703924	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61703914	ⲉ	case	ⲉ	ⲉ	PREP
61703924	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲓ	N	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61703920	ⲡ	det	ⲡ	ⲡ	ART
61704632	ⲏⲉⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61704628	ⲟⲩ	det	ⲟⲩ	ⲟⲩ	ART
61704670	ⲏⲉⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61704666	ⲡ	det	ⲡ	ⲡ	ART
61704670	ⲏⲉⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	Mark_03	Caroline T. Schroeder, Elizabeth Davidson, David Sriboonreuang, Mitchell Abrams, Lance Martin, Amir Zeldes	sahidica.mark	2019-09-30	3.0.0	61704680	ⲙⲙⲁⲩ	acl	ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	ADV
