1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n
52009772	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52018897	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52030962	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52031095	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52031308	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52031436	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52032417	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52033545	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52037049	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52037097	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52037469	ⲏⲓ	mark	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52039339	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52039929	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52041842	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52042433	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52042470	ⲏⲓ	dislocated	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52042674	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52044191	ⲏⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52045484	ⲏⲓ	appos	ⲏⲓ	ⲏⲓ	N	40_Matthew_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52047254	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	40_Matthew_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52050446	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52052884	ⲏⲓ	conj	ⲏⲓ	ⲏⲓ	N	40_Matthew_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52053375	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52053472	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	40_Matthew_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52055711	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52056562	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52061484	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52064374	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	40_Matthew_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52071464	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_15	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52080171	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_17	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52089461	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	40_Matthew_19	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52095518	ⲏⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	40_Matthew_21	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52095553	ⲏⲓ	acl	ⲏⲓ	ⲏⲓ	N	40_Matthew_21	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52112091	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	40_Matthew_24	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52115014	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	40_Matthew_24	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52115114	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_24	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52122274	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	40_Matthew_26	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52145041	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52145462	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	41_Mark_01	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52146886	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52147964	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52148465	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52149981	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	41_Mark_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52152254	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_03	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52152787	ⲏⲉⲓ	nsubj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_03	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52152820	ⲏⲉⲓ	nsubj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_03	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52152982	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_03	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52153085	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_03	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52160655	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52162848	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_05	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52164243	ⲏⲉⲓ	conj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52164804	ⲏⲉⲓ	nsubj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_06	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52172365	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52173248	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52173936	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	41_Mark_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52177660	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_08	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52183031	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52183614	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_09	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52186586	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52189042	ⲏⲓ	obj	ⲏⲓ	ⲏⲓ	N	41_Mark_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52189199	ⲏⲉⲓ	conj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_10	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52194420	ⲏⲓ	ccomp	ⲏⲓ	ⲏⲓ	N	41_Mark_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52194455	ⲏⲉⲓ	conj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52201819	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52204371	ⲏⲉⲓ	nmod	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52206244	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	41_Mark_13	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
