1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lang	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
52009753	ⲟⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲟⲩ	PPERS	40_Matthew_02	52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52009756	ⲉⲓ	root	'NULL'	ⲉⲓ	ⲉⲓ	V	40_Matthew_02	52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52009760	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_02	52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52009765	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_02	52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52009769	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_02	52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_02	52009776	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_02	52009780	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS
52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_02	52009783	ⲛⲁⲩ	parataxis	'NULL'	ⲛⲁⲩ	ⲛⲁⲩ	V
52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_02	52009787	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP
52009772	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_02	52009791	ⲡ	det	'NULL'	ⲡ	ⲡ	ART
52018876	ϣⲟⲟⲡ	acl	'NULL'	ϣⲱⲡⲉ	ϣⲟⲟⲡ	VSTAT	40_Matthew_05	52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52018880	ⲧⲏⲣ	advmod	'NULL'	ⲧⲏⲣ	ⲧⲏⲣ	IMOD	40_Matthew_05	52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52018884	ⲟⲩ	det	'NULL'	ⲛⲧⲟⲟⲩ	ⲟⲩ	PPERO	40_Matthew_05	52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52018888	ϩⲙ	case	'NULL'	ϩⲛ	ϩⲙ	PREP	40_Matthew_05	52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52018893	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_05	52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_05	52018901	.	punct	'NULL'	.	.	PUNCT
52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_05	52018907	ⲧⲁⲓ	root	'NULL'	ⲡⲁⲓ	ⲧⲁⲓ	PDEM
52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_05	52018912	ⲧⲉ	cop	'NULL'	ⲡⲉ	ⲧⲉ	COP
52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_05	52018917	ⲧ	det	'NULL'	ⲡ	ⲧ	ART
52018897	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_05	52018921	ϩⲉ	nsubj	'NULL'	ϩⲉ	ϩⲉ	N
52030945	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST	40_Matthew_07	52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N
52030948	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS	40_Matthew_07	52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N
52030951	ⲕⲱⲧ	acl	'NULL'	ⲕⲱⲧ	ⲕⲱⲧ	V	40_Matthew_07	52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N
52030954	ⲙ	case	'NULL'	ⲛ	ⲙ	PREP	40_Matthew_07	52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N
52030959	ⲡⲉϥ	det	'NULL'	ⲡⲉϥ	ⲡⲉϥ	PPOS	40_Matthew_07	52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N
52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52030965	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV
52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52030970	ⲉϫⲛ	case	'NULL'	ⲉϫⲛ	ⲉϫⲛ	PREP
52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52030975	ⲧ	det	'NULL'	ⲡ	ⲧ	ART
52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52030980	ⲡⲉⲧⲣⲁ	obl	Greek	ⲡⲉⲧⲣⲁ	ⲡⲉⲧⲣⲁ	N
52030962	ⲏⲓ	obj	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_07	52030983	.	punct	'NULL'	.	.	PUNCT
52031074	ⲩ	nsubj	'NULL'	ⲛⲧⲟⲟⲩ	ⲩ	PPERS	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031077	ϩⲓⲟⲩⲉ	parataxis	'NULL'	ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ	V	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52031080	ⲉϩⲟⲩⲛ	advmod	'NULL'	ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	ADV	40_Matthew_07	52031095	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
