1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	exhortations	So Miyagawa, Julien Delhez, Heike Behlmer, Amir Zeldes, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60950986	ⲓ︦ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60951007	ⲙⲱ ⲩ̈ⲥⲏⲥ	nsubj	ⲙⲱⲩⲥⲏⲥ	ⲙⲱⲩⲥⲏⲥ	NPROP	exhortations	So Miyagawa, Julien Delhez, Heike Behlmer, Amir Zeldes, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60951007	ⲙⲱ ⲩ̈ⲥⲏⲥ	nsubj	ⲙⲱⲩⲥⲏⲥ	ⲙⲱⲩⲥⲏⲥ	NPROP
60952401	ⲭ︤ⲥ︥	nsubj	ⲭⲣⲓⲥⲧⲟⲥ	ⲭⲣⲓⲥⲧⲟⲥ	NPROP	on_lack_of_food	So Miyagawa, Caroline T. Schroeder	besa.letters	2019-05-15	2.7.0	60952401	ⲭ︤ⲥ︥	nsubj	ⲭⲣⲓⲥⲧⲟⲥ	ⲭⲣⲓⲥⲧⲟⲥ	NPROP
60954715	ⲓ︤ⲥ︥	nmod	ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	NPROP	on_vigilance	So Miyagawa, Julien Delhez, Heike Behlmer, Amir Zeldes, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60954715	ⲓ︤ⲥ︥	nmod	ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	NPROP
60959880	ⲁⲫ ⲑ ⲟ ⲛⲓⲁ	appos	ⲁⲫⲑⲟⲛⲓⲁ	ⲁⲫⲑⲟⲛⲓⲁ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60959880	ⲁⲫ ⲑ ⲟ ⲛⲓⲁ	appos	ⲁⲫⲑⲟⲛⲓⲁ	ⲁⲫⲑⲟⲛⲓⲁ	NPROP
60959915	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	appos	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60959915	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	appos	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	NPROP
60960217	ⲁⲫⲑⲟⲛⲓⲁ	xcomp	ⲁⲫⲑⲟⲛⲓⲁ	ⲁⲫⲑⲟⲛⲓⲁ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60960217	ⲁⲫⲑⲟⲛⲓⲁ	xcomp	ⲁⲫⲑⲟⲛⲓⲁ	ⲁⲫⲑⲟⲛⲓⲁ	NPROP
60960469	ⲥⲁⲧⲁ ⲛⲁⲥ	nmod	ⲥⲁⲧⲁⲛⲁⲥ	ⲥⲁⲧⲁⲛⲁⲥ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60960469	ⲥⲁⲧⲁ ⲛⲁⲥ	nmod	ⲥⲁⲧⲁⲛⲁⲥ	ⲥⲁⲧⲁⲛⲁⲥ	NPROP
60963464	ⲉⲩϩⲁ	obl	ⲉⲩϩⲁ	ⲉⲩϩⲁ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60963464	ⲉⲩϩⲁ	obl	ⲉⲩϩⲁ	ⲉⲩϩⲁ	NPROP
60963573	ⲭ︤ⲥ︥	obl	ⲭⲣⲓⲥⲧⲟⲥ	ⲭⲣⲓⲥⲧⲟⲥ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60963573	ⲭ︤ⲥ︥	obl	ⲭⲣⲓⲥⲧⲟⲥ	ⲭⲣⲓⲥⲧⲟⲥ	NPROP
60964190	ⲇⲓⲁⲃ ⲟ ⲗⲟⲥ	nsubj	ⲇⲓⲁⲃⲟⲗⲟⲥ	ⲇⲓⲁⲃⲟⲗⲟⲥ	NPROP	to_aphthonia	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60964190	ⲇⲓⲁⲃ ⲟ ⲗⲟⲥ	nsubj	ⲇⲓⲁⲃⲟⲗⲟⲥ	ⲇⲓⲁⲃⲟⲗⲟⲥ	NPROP
60965180	ⲥⲁⲧⲁ ⲛⲁⲥ	obl	ⲥⲁⲧⲁⲛⲁⲥ	ⲥⲁⲧⲁⲛⲁⲥ	NPROP	to_thieving_nuns	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60965180	ⲥⲁⲧⲁ ⲛⲁⲥ	obl	ⲥⲁⲧⲁⲛⲁⲥ	ⲥⲁⲧⲁⲛⲁⲥ	NPROP
60966270	ⲓ︤ⲥ︥	appos	ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	NPROP	to_thieving_nuns	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60966270	ⲓ︤ⲥ︥	appos	ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	NPROP
60966965	ⲓ︤ⲗ︥︦︤ⲏ︦︥︤ⲙ︦︥	appos	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	to_thieving_nuns	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60966965	ⲓ︤ⲗ︥︦︤ⲏ︦︥︤ⲙ︦︥	appos	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP
60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	to_thieving_nuns	Amir Zeldes, David Sriboonreuang, Caroline T. Schroeder	besa.letters	2019-09-30	3.0.0	60967144	ⲓ︤ⲏ︦ⲗ︥	nmod	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP	johannes.canons.FA143-158	Diliana Atanassova, Caroline T. Schroeder, Elizabeth Platte	johannes.canons	2019-09-30	3.0.0	60984532	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲏⲗ	NPROP
60984927	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP	johannes.canons.FA143-158	Diliana Atanassova, Caroline T. Schroeder, Elizabeth Platte	johannes.canons	2019-09-30	3.0.0	60984927	ⲓⲏ︦ⲗ	dislocated	ⲓⲥⲣⲁⲏⲗ	ⲓⲥⲣⲁⲏⲗ	NPROP
60985980	ⲁ ⲇⲁⲙ	obl	ⲁⲇⲁⲙ	ⲁⲇⲁⲙ	NPROP	johannes.canons.FA143-158	Diliana Atanassova, Caroline T. Schroeder, Elizabeth Platte	johannes.canons	2019-09-30	3.0.0	60985980	ⲁ ⲇⲁⲙ	obl	ⲁⲇⲁⲙ	ⲁⲇⲁⲙ	NPROP
60987195	ⲕⲁⲓ̈ⲛ	nsubj	ⲕⲁⲓⲛ	ⲕⲁⲓⲛ	NPROP	johannes.canons.FA143-158	Diliana Atanassova, Caroline T. Schroeder, Elizabeth Platte	johannes.canons	2019-09-30	3.0.0	60987195	ⲕⲁⲓ̈ⲛ	nsubj	ⲕⲁⲓⲛ	ⲕⲁⲓⲛ	NPROP
