1_id	1_span	1_anno_scriptorium::func	1_anno_scriptorium::lemma	1_anno_scriptorium::norm	1_anno_scriptorium::pos	2_id	2_span	2_anno_scriptorium::func	2_anno_scriptorium::lemma	2_anno_scriptorium::norm	2_anno_scriptorium::pos
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan575		aux	ⲁ	ⲁ	APST	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan577		det	ⲟⲩ	ⲩ	ART	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan579		nsubj	ⲕⲏⲡⲏ	ⲕⲏⲡⲏ	N	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan581		ccomp	ϩⲉ	ϩⲉ	V	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan585	ϩⲛ̇	case	ϩⲛ	ϩⲛ	PREP	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan592	ⲉ̇ⲧⲃⲉ	case	ⲉⲧⲃⲉ	ⲉⲧⲃⲉ	PREP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan597		det	ⲟⲩ	ⲟⲩ	ART
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan601		obl	ⲁⲡⲟⲧ	ⲁⲡⲟⲧ	N
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan603		case	ⲛ	ⲛ	PREP
salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan589		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.017.n148.cellar#sSpan608		nmod	ⲏⲣⲡ	ⲏⲣⲡ	N
