Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ⲡ	1	1353	0.06280171	NaN	NaN	0.12560342
ⲛ	1	1081	0.050176382	NaN	NaN	0.100352764
ⲉ	1	457	0.021212403	NaN	NaN	0.042424805
ϩⲛ	1	420	0.019494986	NaN	NaN	0.038989972
ⲛⲧⲟϥ	1	413	0.01917007	NaN	NaN	0.03834014
ⲁⲩⲱ	1	304	0.014110657	NaN	NaN	0.028221315
ⲛⲧⲟⲟⲩ	1	284	0.013182324	NaN	NaN	0.026364649
ⲁ	1	252	0.011696992	NaN	NaN	0.023393985
ⲡⲉϥ	1	249	0.011557742	NaN	NaN	0.023115484
ⲟⲩ	1	232	0.010768659	NaN	NaN	0.021537319
ⲉⲣⲉ	1	185	0.008587077	NaN	NaN	0.017174155
ⲛⲁ	1	165	0.0076587447	NaN	NaN	0.015317489
ⲙⲛ	1	156	0.0072409953	NaN	NaN	0.014481991
ⲉⲧⲉⲣⲉ	1	137	0.006359079	NaN	NaN	0.012718158
ⲡⲉⲕ	1	135	0.0062662456	NaN	NaN	0.012532491
ⲉϩⲟⲩⲛ	1	134	0.006219829	NaN	NaN	0.012439658
ⲉⲃⲟⲗ	1	115	0.005337913	NaN	NaN	0.010675826
ϫⲉ	1	105	0.0048737465	NaN	NaN	0.009747493
ⲃⲱⲕ	1	105	0.0048737465	NaN	NaN	0.009747493
ⲇⲉ	1	104	0.00482733	NaN	NaN	0.00965466
ⲡⲁ	1	98	0.0045488304	NaN	NaN	0.009097661
ϫⲟⲉⲓⲥ	1	94	0.004363164	NaN	NaN	0.008726328
ⲁⲛⲟⲕ	1	94	0.004363164	NaN	NaN	0.008726328
ⲉϩⲣⲁⲓ	1	93	0.004316747	NaN	NaN	0.008633494
ⲛⲧⲟⲥ	1	82	0.003806164	NaN	NaN	0.007612328
ⲛⲧⲟⲕ	1	78	0.0036204976	NaN	NaN	0.0072409953
ⲡⲉⲩ	1	78	0.0036204976	NaN	NaN	0.0072409953
ⲛⲧⲉ	1	74	0.003434831	NaN	NaN	0.006869662
ⲛⲟⲩⲧⲉ	1	65	0.0030170814	NaN	NaN	0.006034163
ⲡⲉ	1	61	0.0028314148	NaN	NaN	0.0056628296
ⲧⲏⲣ	1	56	0.0025993316	NaN	NaN	0.005198663
ⲉϫⲛ	1	53	0.0024600816	NaN	NaN	0.004920163
ⲉⲓ	1	53	0.0024600816	NaN	NaN	0.004920163
ⲉⲓⲱⲧ	1	49	0.0022744152	NaN	NaN	0.0045488304
ⲕⲱⲧ	1	48	0.0022279986	NaN	NaN	0.004455997
ϣⲱⲡⲉ	1	46	0.0021351653	NaN	NaN	0.0042703305
ⲛⲧⲱⲧⲛ	1	44	0.002042332	NaN	NaN	0.004084664
