#2|lemma	count
ⲓⲏⲥⲟⲩⲥ	103
ⲗⲟⲅⲅⲓⲛⲟⲥ	50
ⲓⲁⲕⲱⲃ	29
ⲥⲁⲧⲁⲛⲁⲥ	25
ⲃⲓⲕⲧⲱⲣ	24
ⲡⲁⲙⲃⲱ	22
ⲁⲃⲣⲁϩⲁⲙ	21
ⲙⲱⲩⲥⲏⲥ	19
ⲭⲣⲓⲥⲧⲟⲥ	19
ⲓⲥⲣⲁⲏⲗ	18
ϣⲓⲏⲧ	18
ⲓⲟⲩⲇⲁⲥ	13
ⲡⲁⲩⲗⲟⲥ	13
ⲓⲥⲁⲁⲕ	12
ⲁⲡⲟⲗⲗⲱⲛ	12
ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ	10
ⲕⲏⲙⲉ	10
ⲗⲟⲩⲅⲓⲟⲥ	10
ϩⲣⲱⲙⲁⲛⲟⲥ	9
ⲓⲱⲥⲏⲫ	8
ⲕⲩⲣⲟⲥ	8
ⲓⲟⲩⲇⲁⲓ	8
ⲁⲃⲉⲗ	8
ⲁⲇⲁⲙ	8
ϫⲓϫⲱⲓ	7
ⲁⲛⲧⲱⲛⲓⲟⲥ	7
ⲇⲁⲛⲓⲏⲗ	6
ⲇⲁⲩⲉⲓⲇ	6
ⲗⲁⲃⲁⲛ	6
ⲡⲉⲧⲣⲟⲥ	6
ⲣⲁⲕⲟⲧⲉ	6
ⲓⲱϩⲁⲛⲛⲏⲥ	6
ⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ	6
ⲅⲁⲓⲟⲥ	5
ϩⲣⲉⲃⲉⲕⲕⲁ	5
ⲏⲥⲁⲩ	5
ϩⲣⲁⲭⲏⲗ	5
ⲕⲁⲉⲓⲛ	4
ⲥⲁⲟⲩⲗ	4
ⲥⲁⲣⲣⲁ	4
ⲏⲥⲁⲓⲁⲥ	4
ⲕⲣⲟⲛⲟⲥ	4
ⲁⲣⲕⲁⲇⲓⲟⲥ	4
ⲍⲁⲭⲁⲣⲓⲁⲥ	4
ⲗⲱⲧ	4
ⲉⲩϩⲁ	4
ⲕⲁⲓⲛ	4
ϣⲉⲛⲟⲩⲧⲉ	4
ϩⲓⲉⲣⲁⲝ	4
ⲁⲙⲛⲧⲉ	3
ⲍⲏⲛⲱⲛ	3
ⲙⲁⲣⲓⲁ	3
ⲫⲁⲣⲁⲱ	3
ⲡⲣⲟⲕⲗⲟⲥ	3
ⲡⲁⲙⲟⲩⲛ	3
ⲃⲏⲥⲁⲣⲓⲟⲛ	3
ⲥⲟⲇⲟⲙⲁ	3
ⲅⲟⲙⲟⲣⲣⲁ	3
ⲛⲱϩⲉ	3
ⲗⲉⲱⲛ	3
ⲭⲁⲏⲗ	3
ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	3
ⲉⲩϩⲁⲓⲟⲥ	3
ⲗⲟⲩⲕⲓⲟⲥ	3
ⲅⲁⲃⲣⲓⲏⲗ	2
ⲁⲙⲱⲛⲁ	2
ⲍⲁⲗⲉϩ	2
ⲕⲁⲓⲟⲥ	2
ⲉⲫⲉⲥⲟⲥ	2
ⲡⲁⲱⲛⲉ	2
ⲧⲣⲓⲁⲥ	2
ⲑⲉⲟⲇⲱⲣ	2
ⲡⲁϩⲱⲙⲱ	2
ⲟⲛⲛⲟⲫⲣⲓⲟⲥ	2
ⲓⲱⲁⲛⲛⲏⲥ	2
ⲓⲉⲍⲉⲕⲓⲏⲗ	2
ⲗⲟⲅⲅⲓⲛⲟⲥⲇⲉ	2
ⲡⲁⲡⲛⲟⲩⲧⲉ	2
ⲁⲫⲑⲟⲛⲓⲁ	2
ⲁⲣⲥⲉⲛⲓⲟⲥ	2
ⲁⲛⲛⲁ	2
ⲕⲟⲣⲉ	2
ⲛⲁⲩⲏ	2
ⲥⲁⲙⲟⲩⲏⲗ	2
ⲑⲉⲟⲕⲇⲓⲥⲧⲟⲥ	2
ϩⲏⲗⲓⲁⲥ	2
ⲑⲉⲱⲇⲱⲣⲟⲥ	2
ⲛⲉⲥⲧⲟⲣⲓⲟⲥ	2
ϩⲏⲗⲉⲓ	2
ⲥⲟⲗⲟⲙⲱⲛ	2
ⲅⲉϩⲉⲛⲛⲁ	2
ϩⲉⲛⲁⲧⲟⲛ	2
ⲃⲉⲛⲓⲁⲙⲓⲛ	2
ⲁⲃⲓⲣⲱⲛ	2
ⲁⲇⲱⲛⲁⲓ	2
ⲇⲟⲩⲗⲟⲥ	1
ⲕⲱⲥⲧⲁⲛⲧⲓⲛⲟⲩⲡⲟⲗⲓⲥ	1
ⲉⲣϣⲁⲛ	1
ⲁⲁⲣⲱⲛ	1
ⲉⲓⲁⲕⲱⲃ	1
ⲃⲁⲗⲗⲁ	1
ⲇⲁⲑⲁⲛ	1
ⲉⲛⲟⲭⲟⲥ	1
ⲉⲣⲏⲧⲉ	1
ⲉⲫⲣⲉⲙ	1
ⲍⲉⲗⲫⲁ	1
ⲑⲁⲉⲓⲙ	1
ⲓⲏⲥⲟⲩ	1
ⲓⲟⲩⲗⲉ	1
ⲕⲏⲫⲁⲥ	1
ⲕⲣⲏⲧⲏ	1
ⲙⲁⲁⲩⲱ	1
ⲉⲫⲣⲁⲓⲙ	1
ⲡⲁⲏⲥⲉ	1
ⲡⲉⲗⲁⲕ	1
ⲡⲉⲧⲣⲁ	1
ⲥⲁⲃⲏⲗ	1
ⲥⲓⲗⲁⲥ	1
ⲥⲓⲙⲱⲛ	1
ⲥⲩⲣⲓⲁ	1
ⲥⲩⲭⲉⲙ	1
ⲧⲁⲑⲁⲛ	1
ⲗⲟⲩⲕⲓⲁⲛⲟⲥ	1
ⲗⲟⲅⲅⲓⲛⲟⲥⲁⲩⲱ	1
ϩⲣⲁⲫⲁⲏⲗ	1
ⲑⲏⲃⲁⲓⲥ	1
ⲥⲁⲣⲁⲡⲓⲟⲛ	1
ⲓⲥⲙⲁⲏⲗ	1
ⲓⲱⲥⲓⲁⲥ	1
ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ	1
ⲙⲉⲗⲭⲓⲥⲉⲇⲉⲕ	1
ⲛⲓⲛⲉⲩⲏ	1
ⲙⲁⲙⲙⲱⲛⲁⲥ	1
ⲉⲗⲓⲥⲁⲃⲉⲧ	1
ⲟⲇⲟⲗⲗⲁ	1
ⲛⲁⲅⲱⲛⲓⲍⲉⲁⲩⲱ	1
ⲡⲟⲓⲙⲏⲛ	1
ⲡⲉⲥⲧⲁⲩⲣⲟⲥ	1
ϩⲩⲡⲏⲣⲉⲭⲓⲟⲥ	1
ⲉⲗⲉⲩⲑⲉⲣⲟⲥ	1
ⲥⲁⲃⲁⲱⲑ	1
ⲥⲁⲙⲯⲱⲛ	1
ⲁⲃⲉⲓⲟⲩⲇ	1
ⲙⲉⲥⲟⲡⲟⲧⲁⲙⲓⲁ	1
ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	1
ϯⲙⲟⲑⲉⲟⲥ	1
ⲧⲁⲃⲓⲑⲁ	1
ⲧⲱⲃⲓⲁⲥ	1
ϩⲓⲗⲗⲁⲣⲓⲁ	1
ⲫⲗⲁⲃⲓⲁ	1
ⲭⲁⲛⲁⲁⲛ	1
ⲭⲉⲃⲣⲱⲛ	1
ⲃⲁⲣⲁⲭⲓⲁⲥ	1
ⲁⲕⲁⲕⲓⲟⲥ	1
ⲁⲛⲇⲣⲉⲁⲥ	1
ⲗⲟⲅⲅⲓⲛⲟⲥⲕⲁ	1
ⲁⲑⲁⲛⲁⲥⲓⲟⲥ	1
ⲇⲓⲁⲃⲟⲗⲟⲥ	1
ⲕⲏⲍⲓⲕⲟⲥ	1
ⲓⲉⲣⲉⲙⲓⲁⲥ	1
ⲁⲣⲧⲉⲙⲓⲥ	1
ⲡⲁⲣⲙⲟⲩⲧⲉ	1
ⲡⲁⲥⲧⲁⲙⲱⲛ	1
ⲑⲉⲟⲇⲱⲥⲓⲟⲥ	1
ⲇⲉⲃⲃⲱⲣⲁ	1
