Description,URL,Tiny URL,Query,file title ,download settings and parameters,note,**Note: all corpora = all corpora except treebank corpus
Full corpora query for Sketis,http://corpling.uis.georgetown.edu/annis/?id=dba22fd5-84dc-4d6c-9415-852c05b49263,,"lemma=_""_____""",annis-export-sketis-allcorpora.txt,"simpletext, metakeys=author,title,document_cts_urn,version_n,version_date",,
Full corpora query for house,http://corpling.uis.georgetown.edu/annis/?id=8a83e0c2-64ea-4bab-8263-2ab5949f4b72,,"lemma=_""___""",,"csv export, metakeys=annis:doc,corpus,version_n,version_date,annotation",,
"nonbiblical corpora query for house, no redundancies",http://corpling.uis.georgetown.edu/annis/?id=269bb3de-e57c-4f83-83fc-06eae2eec2af,,"meta::corpus=_/.*_/ & lemma=_""___"" & meta::title!=_/.*para.*_/",frequency-house-noredundancies-nonbibilicalcorpora.png,"raw frequency generated by corpus, screenshot of ANNIS generated histogram",,
"nonbiblical corpora query for house, no redundancies",http://corpling.uis.georgetown.edu/annis/?id=269bb3de-e57c-4f83-83fc-06eae2eec2af,,"meta::corpus=_/.*_/ & lemma=_""___"" & meta::title!=_/.*para.*_/",house-nonbiblicalcorpora-noredundancies-frequencies.txt,raw frequency generated by corpus,,
hagiography query for house,http://corpling.uis.georgetown.edu/annis/?id=d96eb52b-92f6-4155-818f-b39a32b73246,,"lemma=_""___""",annis-export-house-hagiographicalcorpora-2Dec2019.txt,,,
"Full corpora query for mountain, tagging=gold only",http://corpling.uis.georgetown.edu/annis/?id=0a28e6be-b403-40e9-8e2c-13b509426130,,"lemma=_""_____"" & meta::tagging=_""gold_""",annis-export-mountain-goldtagging-nov2019.txt,annis-export-mountain-goldtagging-nov2019.txt,,
"non-biblical corpora NPROP query, no redundancies",http://corpling.uis.georgetown.edu/annis/?id=5add4c96-dedf-469e-8e9b-716caf42e368,,"meta::corpus=_/.*_/ & pos=_""NPROP_"" _o_ lemma & meta::title!=_/.*para.*_/ ",annis-frequency-download-nprop-nonbiblical-noredundancies.txt,frequency of lemmas tagged as propernames downloaded,,
"non-biblical corpora NPROP query, no redundancies",http://corpling.uis.georgetown.edu/annis/?id=5add4c96-dedf-469e-8e9b-716caf42e368,,"meta::corpus=_/.*_/ & pos=_""NPROP_"" _o_ lemma & meta::title!=_/.*para.*_/ ",annis-export-nprop-fullcorpora-noredundancies.txt,"csv, metakeys=annis:doc,corpus,version_n,version_date,annotation",,
Voyant collocations,"https://voyant-tools.org/?corpus=b2375e08c410719ad5d34cd8f97b687e&panels=corpuscollocates,summary",,section 1 of paper 14 November 2019,,"Collocations auto-stop words, context 5",,
Corpus query 5 lemmas either side of Sketis,http://corpling.uis.georgetown.edu/annis/?id=da5c21af-1ae5-4d37-8c63-68d080ca6b2f,,"(n1#lemma=_""_____"" . 1,5 n2#lemma=_/.*_/ )|(n2#lemma=_/.*_/ . 1,5 n1#lemma=_""_____"")",annis-export-sketis-l5r5.csv,csv exporter,,
